06/14/2017 16:58:30
1125546,,,9,.07,,8,.071,,,,,,,,,,,,,,,,,,,,,,,,,
1125548,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125559,,,15,.13,,12,.114,,,,,,,,,,,,,,,,,,,,,,,,,
1125562,,,8,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1125575,,,5,.036,,5,.038,,,,,,,,,,,,,,,,,,,,,,,,,
1125605,,,1,0,,4,0,,5,0,,,,,,,,,,,,,,,,,,,,,,
1125610,,,,,,,,,5,.04,,,,,,,,,,,,,,,,,,,,,,
1125631,,,7,.056,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1125668,,,,,,,,,8,.118,,,,,,,,,,,,,,,,,,,,,,
1125672,,,,,,,,,1,.009,,,,,,,,,,,,,,,,,,,,,,
1125680,,,4,0,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,
1125684,,,8,0,,14,0,,,,,,,,,,,,,,,,,,,,,,,,,
1125689,,,12,.12,,7,.062,,9,.087,,,,,,,,,,,,,,,,,,,,,,
1125712,,,4,0,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
1125721,,,19,.249,,18,.232,,,,,,,,,,,,,,,,,,,,,,,,,
1125733,,,0,0,,13,.142,,,,,,,,,,,,,,,,,,,,,,,,,
1125737,,,0,0,,15,.291,,,,,,,,,,,,,,,,,,,,,,,,,
1125794,,,3,.02,,2,.015,,3,.044,,,,,,,,,,,,,,,,,,,,,,
1125799,,,1,.005,,3,.024,,4,.066,,,,,,,,,,,,,,,,,,,,,,
1125805,,,16,.32,,4,.033,,5,.047,,,,,,,,,,,,,,,,,,,,,,
1125812,,,2,.013,,11,.082,,5,.058,,,,,,,,,,,,,,,,,,,,,,
1125813,,,4,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,
1125821,,,1,0,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
1125825,,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1125829,,,11,.082,,10,.055,,6,.072,,,,,,,,,,,,,,,,,,,,,,
1125835,,,2,.015,,9,.076,,5,.051,,1,.02,,,,,,,,,,,,,,,,,,,
1125836,,,4,.035,,2,.017,,,,,,,,,,,,,,,,,,,,,,,,,
1125892,,,7,.058,,10,.092,,,,,,,,,,,,,,,,,,,,,,,,,
1126247,,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126292,,,11,.082,,11,.093,,,,,,,,,,,,,,,,,,,,,,,,,
1126293,,,3,0,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,
1126294,,,2,0,,5,0,,8,0,,,,,,,,,,,,,,,,,,,,,,
1126520,,,2,.024,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1126522,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126526,,,6,.05,,2,.012,,,,,,,,,,,,,,,,,,,,,,,,,
